Anruf-ID	Dauer in Sekunden	Wartezeit in Sekunden	Status	Mitarbeiter	Standort-ID
1001	300	20	Abgeschlossen	Anna Müller	Bremen
1002	250	15	Abgeschlossen	Max Schmidt	Berlin
1003	180	5	Verpasst	Julia Fischer	Hamburg
1004	420	25	Abgeschlossen	Peter Schneider	Stuttgart
1005	360	18	Abgeschlossen	Laura Weber	München
1006	220	8	Verpasst	Lukas Wagner	Frankfurt
1007	600	40	Abgeschlossen	Sophie Becker	Köln
1008	500	30	Abgeschlossen	Daniel Keller	Düsseldorf
1009	410	22	Abgeschlossen	Marie Neumann	Bremen
1010	390	20	Verpasst	Thomas Wolf	Berlin
1011	230	10	Abgeschlossen	Clara Krause	Hamburg
1012	290	16	Abgebrochen	Tim Richter	Stuttgart
1013	450	25	Abgeschlossen	Lena König	München
1014	340	12	Abgeschlossen	David Schulz	Frankfurt
1015	570	38	Verpasst	Sarah Hoffmann	Köln
1016	310	14	Abgebrochen	Nina Peters	Düsseldorf
1017	260	10	Abgeschlossen	Jan Lehmann	Bremen
1018	480	28	Abgeschlossen	Lisa Huber	Berlin
1019	320	15	Abgeschlossen	Paul Schröder	Hamburg
1020	370	18	Verpasst	Lea Groß	Stuttgart
1021	540	35	Abgeschlossen	Fabian Kaiser	München
1022	220	8	Abgeschlossen	Katharina Simon	Frankfurt
1023	200	6	Abgebrochen	Felix Böhm	Köln
1024	450	25	Abgeschlossen	Emma Lange	Düsseldorf
1025	390	20	Abgeschlossen	Florian Brandt	Bremen
1026	210	7	Abgeschlossen	Mia Arnold	Berlin
1027	330	15	Verpasst	Johannes Frank	Hamburg
1028	480	28	Abgeschlossen	Isabella Wolff	Stuttgart
1029	350	16	Abgebrochen	Erik Albrecht	München
1030	530	34	Abgeschlossen	Sophia Weiß	Frankfurt
1031	310	13	Abgeschlossen	Jonas Beck	Köln
1032	440	22	Verpasst	Nele Busch	Düsseldorf
1033	260	10	Abgebrochen	Finn Voss	Bremen
1034	500	30	Abgeschlossen	Lilly Braun	Berlin
1035	280	12	Verpasst	Tobias Lorenz	Hamburg
1036	470	26	Abgeschlossen	Emma Krüger	Stuttgart
1037	380	19	Abgebrochen	Jonas Böhm	München
1038	550	36	Abgeschlossen	Maja Herzog	Frankfurt
1039	290	13	Abgebrochen	Moritz Krämer	Köln
1040	210	8	Abgeschlossen	Leonie Fuchs	Düsseldorf
1041	470	27	Verpasst	Alexander Metz	Bremen
1042	350	15	Abgeschlossen	Hannah May	Berlin
1043	430	23	Abgebrochen	Lara Kuhn	Hamburg
1044	390	20	Abgeschlossen	Niklas Horn	Stuttgart
1045	360	18	Abgeschlossen	Mia Vogt	München
1046	550	35	Verpasst	Lena Sauer	Frankfurt
1047	270	11	Abgebrochen	Lukas Schmid	Köln
1048	480	28	Abgeschlossen	Elena Jäger	Düsseldorf
1049	320	15	Verpasst	Fabian Kraus	Frankfurt
1050	420	25	Abgeschlossen	Marlene Wagner	Köln
